HOLE_ID,error,local,PREDRILLED,DEPTH_MEASURED,Nominal_gripper,Estimated_gripper
MSN660_P1'_11,-0.0273499999999993,-1.326098088864298,-1,16.52,code_11,code_11
MSN663_P8'_5,-0.0754250000000014,-0.2210515342821501,1,21.35,code_14,code_14
MSN663_P7'_14,-0.0071500000000009,-0.1519861246207658,-1,19.67,code_13,code_13
MSN663_P8'_3,0.1391500000000005,-0.2901169439435344,-1,17.8,code_12,code_12
MSN663_P8'_4,-0.1595250000000007,-0.3246496487742265,-1,21.6,code_14,code_14
MSN663_P1_2,-0.4617500000000012,0.6077333816544608,1,18.5,code_12,code_12
MSN663_P8_2,0.2060999999999982,0.91852772513069,-1,15.82,code_10,code_11
MSN664_P1'_12,0.2616250000000014,1.4365182975910715,-1,16.78,code_11,code_11
MSN664_P1'_10,0.0793250000000016,1.6437145265752244,1,15.85,code_10,code_11
MSN664_P7'_10,0.0332999999999987,1.3674528879296874,1,15.57,code_10,code_10
MSN667_P1_1,-0.1969000000000014,0.3314717430089238,-1,18.26,code_12,code_12
MSN669_P8'_2,0.2408000000000015,0.953060429961382,-1,15.62,code_10,code_10
MSN669_P8'_1,0.2153999999999992,1.0221258396227662,1,13.72,code_9,code_9
MSN669_P8'_5,0.1989749999999982,0.987593134792074,1,21.14,code_14,code_14
MSN600_P1'_4,-0.0332749999999987,-1.1189018598801452,-1,18.1,code_12,code_12
MSN600_P7_12,0.1720000000000006,-1.5678270226791429,1,20.1,code_13,code_13
MSN600_P8_2,-0.1642499999999997,-1.6368924323405272,-1,15.85,code_10,code_10
MSN673_P1'_2,-0.131899999999999,0.2969390381782317,1,18.34,code_12,code_12
MSN673_P7'_11,-0.5171249999999987,-0.0829207149593816,-1,18.01,code_12,code_12
MSN677_P1'_3,0.0245500000000008,1.57464911691384,-1,18.3,code_12,code_12
MSN677_P1'_12,0.1287250000000012,1.4710510024217638,-1,16.9,code_11,code_11
MSN677_P1_10,-0.1181749999999987,-1.4642289081870663,1,15.8,code_10,code_10
MSN678_P1_3,-0.2257250000000005,-0.2210515342821501,-1,18.22,code_12,code_12
MSN678_P1_11,0.0214499999999996,-0.2901169439435344,-1,16.45,code_11,code_11
MSN680_P1_11,-0.1037999999999987,1.0911912492841505,-1,16.64,code_11,code_11
MSN635_P1'_12,0.1590250000000006,-1.4987616130177586,-1,16.8,code_11,code_11
MSN635_P8'_6,-0.125524999999999,-1.7750232516632956,-1,21.2,code_14,code_14
MSN635_P1_11,-0.042874999999999,-1.2570326792029138,-1,16.4,code_11,code_11
MSN660_P1'_3,-0.1128000000000001,-1.2570326792029138,-1,18.03,code_12,code_12
MSN663_P1'_12,0.0598249999999991,0.0552101043633868,-1,16.97,code_11,code_11
MSN663_P1_10,-0.2560249999999984,0.5732006768237686,1,16.14,code_11,code_11
MSN663_P1_12,-0.0419000000000006,0.3660044478396159,-1,17.01,code_11,code_11
MSN664_P7'_13,0.1561999999999983,1.3329201830989954,-1,19.51,code_13,code_13
MSN667_P1'_3,-0.0321749999999989,-0.0138553052979974,-1,18.2,code_12,code_12
MSN667_P7'_12,0.2504500000000003,-0.2901169439435344,1,19.34,code_13,code_13
MSN667_P8'_5,-0.1494249999999982,-0.3591823536049186,1,21.4,code_14,code_14
MSN667_P8'_1,0.2228749999999994,-0.3937150584356107,1,13.68,code_9,code_9
MSN667_P1_11,-0.0589249999999988,0.2278736285168474,-1,16.71,code_11,code_11
MSN669_P1'_1,-0.1195999999999996,1.4019855927603797,-1,18.21,code_12,code_12
MSN669_P8'_6,0.4241499999999998,0.8494623154693056,-1,21.24,code_14,code_14
MSN600_P1'_12,-0.1798750000000009,-1.2570326792029138,-1,17.0,code_11,code_11
MSN600_P7'_13,0.0827750000000001,-0.4973131729276871,-1,20.0,code_13,code_13
MSN600_P7'_14,0.2807249999999986,-1.0843691550494532,-1,20.0,code_13,code_13
MSN600_P1_1,-0.0091249999999996,-1.3606307936949902,-1,18.1,code_12,code_12
MSN673_P1'_3,-0.0056,0.1588082188554632,-1,18.2,code_12,code_12
MSN673_P7_13,0.3606500000000004,0.7803969058079214,-1,19.24,code_13,code_13
MSN677_P8'_5,0.1515249999999995,1.1947893637762268,1,21.4,code_14,code_14
MSN677_P8'_6,0.3731000000000006,1.0566585444534584,-1,21.1,code_14,code_14
